canonical_folder_or_path,schema,market,year,pair,approval_packet_decision,phase_or_script_likely_responsible,script_path,smallest_bounded_repair_scope,expected_canonical_output_path,validation_command,stop_condition,prerequisite_or_dependency,user_approval_required_before_execution,cleanup_gate_remains_blocked,evidence_source,evidence_detail
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2013,KE:2013,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2013 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2013.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2013.parquet exists, Phase 2 validation for KE:2013 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2013.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2014,KE:2014,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2014 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2014.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2014.parquet exists, Phase 2 validation for KE:2014 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2014.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2015,KE:2015,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2015 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2015.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2015.parquet exists, Phase 2 validation for KE:2015 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2015.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2016,KE:2016,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2016 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2016.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2016.parquet exists, Phase 2 validation for KE:2016 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2016.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2017,KE:2017,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2017 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2017.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2017.parquet exists, Phase 2 validation for KE:2017 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2017.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2018,KE:2018,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2018 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2018.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2018.parquet exists, Phase 2 validation for KE:2018 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2018.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2019,KE:2019,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2019 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2019.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2019.parquet exists, Phase 2 validation for KE:2019 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2019.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2020,KE:2020,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2020 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2020.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2020.parquet exists, Phase 2 validation for KE:2020 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2020.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2021,KE:2021,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2021 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2021.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2021.parquet exists, Phase 2 validation for KE:2021 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2021.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2022,KE:2022,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2022 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2022.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2022.parquet exists, Phase 2 validation for KE:2022 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2022.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2023,KE:2023,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2023 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2023.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2023.parquet exists, Phase 2 validation for KE:2023 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2023.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2024,KE:2024,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2024 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2024.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2024.parquet exists, Phase 2 validation for KE:2024 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2024.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2025,KE:2025,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2025 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2025.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2025.parquet exists, Phase 2 validation for KE:2025 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2025.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,KE,2026,KE:2026,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,KE 2026 only after canonical raw parquet exists,data/causally_gated_normalized/KE/2026.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/KE/2026.parquet exists, Phase 2 validation for KE:2026 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/KE/2026.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2018,SR1:2018,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2018 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2018.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2018.parquet exists, Phase 2 validation for SR1:2018 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2018.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2019,SR1:2019,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2019 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2019.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2019.parquet exists, Phase 2 validation for SR1:2019 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2019.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2020,SR1:2020,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2020 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2020.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2020.parquet exists, Phase 2 validation for SR1:2020 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2020.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2021,SR1:2021,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2021 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2021.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2021.parquet exists, Phase 2 validation for SR1:2021 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2021.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2022,SR1:2022,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2022 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2022.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2022.parquet exists, Phase 2 validation for SR1:2022 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2022.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2023,SR1:2023,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2023 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2023.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2023.parquet exists, Phase 2 validation for SR1:2023 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2023.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
data/causally_gated_normalized/{market}/{year}.parquet,phase2_causal_base_parquet,SR1,2024,SR1:2024,APPROVE_REPAIR_PLAN_REQUIRED,phase2_causal_base,scripts/phase2_causal_base/build_causal_base_data.py,SR1 2024 only after canonical raw parquet exists,data/causally_gated_normalized/SR1/2024.parquet,"python -m scripts.phase2_causal_base.build_causal_base_data --profile <bounded-profile> --raw-root data/raw --output-root data/causally_gated_normalized --readiness-only first, then approved bounded build","data/causally_gated_normalized/SR1/2024.parquet exists, Phase 2 validation for SR1:2024 passes, and git status --short -- data shows only approved/generated outputs handled by policy",Canonical raw input data/raw/SR1/2024.parquet must exist first; for 2025/2026 KE/SR1/TN/ZL/ZM this depends on the raw repair rows.,true,true,reports/data_manifest/manifest_coverage_check.csv; reports/data_lineage/canonical_path_summary.md; reports/data_lineage/pipeline_phase_io_map.md; configs/data_manifest.yaml,expected by manifest but absent from filename inventory
